name,price,price_is_valid
"Philips 24E1N1100A - Monitor Full Hd De 24 Pulgadas, Integrado Altavoz, Tiempo De Respuesta De 1 Ms (1920X1080, 100 Hz, Vga, Hdmi 1.4) Negro","84,90 €84,90€",False
"Samsung Ls24C310Eauxen - Monitor Profesional Esencial S3 S31C De 24"" Full Hd (1920 X 1080, 16:9, 75Hz, 5Ms, Panel Ips, Amd Freesync, Modo Eye Saver, Flicker Free), Negro, Versión 2024","83,00 €83,00€",False
"Lenovo L27I-4B - Monitor 27"" (Ips, 1920 X 1080 Px, 16:9, 100 Hz, Tiempo De Respuesta 4Ms, Hdmi, Vga, Montaje Vesa 100 Mm, Soporte De Inclinación) Color Gris Nube, Versión Actual","119,99 €119,99€",False
"Arzopa 16.1"" Monitor Portatil, De 1920×1080 Fhd Ips Pantalla Portátil Monitor Con Una Sola Varilla, Soporte Hdmi/Type-C/Usb-C, De Protección Ocular, Para Computadora Portátil/Pc/Mac/Ps3/4/5/Xbox","99,72 €99,72€",False
"Lg 27Gs75Q-B.Aeu - Monitor Ultragear, 27 Pulgadas ( 68 Cm), Gaming, Panel Ips, Qhd, 2560X1440, 16:9, 1000:1, 1Ms, 200 Hz, G-Sync, Freesync, Negro","199,00 €199,00€",False
"Arzopa S1 Table Monitor Portátil Full Hd De 15,6"" Y 1920X1080 Píxeles, Pantalla Móvil Externa Ips Con Hdmi/Tipo-C/Usb-C Para Portátil/Pc/Mac/Ps4/Xbox","94,73 €94,73€",False
"Asus Monitor Va24Ehf Eye Care Gaming 24"" (Ips, Full Hd, Sin Marcos, 100 Hz, Sincronización Adaptativa, Mprt De 1 Ms, Hdmi, Luz Azul Baja, Sin Parpadeos, Montaje En Pared)","90,99 €90,99€",False
"Msi Pro Mp252 Monitor Profesional Full Hd De 24,5""- Panel Ips 1920 X 1080, 100 Hz, Pantalla Eye-Friendly, Altavoces Integrados, Inclinación Ajustable, Hdm 2.0B, Displayport 1.4A","84,00 €84,00€",False
"Lg 32Mr50C-B - Monitor Curvado, 32 Pulgadas, Va 3000:1, 1500R, 16:9, Velocidad 100 Hz, Hdmix2, Super Resolution+, Amd Freesync Premium, Clasificación E, Negro","139,99 €139,99€",False
"Samsung Ls27Dg300Euxen - Monitor Gaming Odyssey G3 De 27"" Full Hd (1920 X 1080, 16:9, 180Hz, 1Ms, Panel Ips, Amd Freesync, Modo Eye Saver, Flicker Free), Negro, Versión 2024","139,00 €139,00€",False
"Aoc Gaming 27G2Sp - Monitor Fhd De 27 Pulgadas, 165 Hz, 1 Ms, Freesync Premium (1920 X 1080, Hdmi, Displayport), Color Negro Y Rojo","125,10 €125,10€",False
"Aoc Gaming Q27G4Xf - Monitor Qhd De 27 Pulgadas, 180 Hz, Plano, 0,5 Ms, Freesync Prem., Comp. G-Sync, Hdr10, Ajustable (Ips, 2560X1440, Displayport, Hdmi) Negro/Gris","189,90 €189,90€",False
"Aoc Gaming Cq32G4Ve - Monitor Curvo Qhd De 32 Pulgadas, 180 Hercios, 0,5 Ms, Hdr10, Freesync Premium (Va, 1500R, 2560X1440, Hdmi, Displayport) Negro/Gris","199,90 €199,90€",False
"Aoc 27B3Hm - 27"" Full Hd Monitor, Adaptive Sync (1920X1080, 75 Hz, Vga, Hdmi 1.4) Black","92,22 €92,22€",False
"Samsung Lc34G55Twwpxen Monitor Gaming Odyssey G5 De 34"" (3440 X 1440, Curvo, Tasa Refresco De165Hz, Tiempo De Respuesta 1 Ms, Ultra Wqhd, Amd Freesync Premium, Hdr, Negro)","325,90 €325,90€",False
